mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;params;mean_test_score;std_test_score;rank_test_score
24,84929280281067;5,957281149755721;1,0503267765045166;0,30842101665951815;20;sqrt;2;10;300;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300};0,9996744618612221;0,00023711704388715087;14
19,035672521591188;0,10146787449631704;1,0064589023590087;0,08416961340269004;15;sqrt;2;10;200;{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200};0,9996279610474579;0,00031541735195500205;16
10,1072012424469;0,20495420521006283;0,6266988277435303;0,10069716238201903;15;sqrt;2;5;100;{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100};0,9996279502333151;0,00037783829555925586;17
29,034633779525755;0,47378074699124956;1,286633348464966;0,131390571712398;15;sqrt;1;10;300;{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300};0,9996279502333151;0,00037783829555925586;17
19,2573712348938;0,4308662114799657;0,933956241607666;0,0849229286649984;15;sqrt;1;10;200;{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200};0,9996279502333151;0,00027903733025245824;17
9,874722576141357;0,3380211836178378;0,6573682308197022;0,06505550133697911;15;sqrt;1;10;100;{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100};0,9996279502333151;0,00037783829555925586;17
9,875441694259644;0,37074905244737544;0,7100790023803711;0,04044820632328882;20;sqrt;1;10;100;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100};0,9996279502333151;0,0002371255287160071;17
9,930270195007324;0,12826613946884866;0,6581382274627685;0,05736890265798473;15;sqrt;2;10;100;{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0,9995814602336935;0,00030844824583352553;22
28,73725848197937;0,14549956049605456;1,229079294204712;0,15718217603796736;15;sqrt;2;10;300;{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300};0,9995814602336935;0,000372030846797585;22
9,876598405838013;0,2321288480768989;0,6706127643585205;0,09664740797952891;20;sqrt;2;10;100;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0,9995814386054083;0,00027118110642220347;24
18,488032960891722;0,4583085967273063;0,8981657028198242;0,08672754739123438;10;sqrt;1;5;200;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200};0,9969771443093277;0,0006577356116070574;25
27,354315185546874;0,8985870810518806;1,2796974182128906;0,19946577992993864;10;sqrt;1;5;300;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300};0,9967911086118427;0,0006479035367040201;26
17,704883766174316;0,4062159464520976;0,962174654006958;0,06660265393580582;10;sqrt;1;10;200;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200};0,9966981069843142;0,0004002968345452216;27
9,39638705253601;0,2504776531832042;0,6214336395263672;0,08818183721803574;10;sqrt;1;10;100;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100};0,9966050945426428;0,0005425329394290311;28
26,830632543563844;0,39942659080052156;1,2863830089569093;0,021458632482972077;10;sqrt;1;10;300;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300};0,9964190804734431;0,00047896960793623265;29
9,905794143676758;0,3127776350136605;0,5986333370208741;0,08720151899239258;10;sqrt;1;5;100;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0,9963726337303926;0,000598933148495255;30
17,689667320251466;0,3912331513021567;0,9030359745025635;0,06937411745522896;10;sqrt;2;5;200;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200};0,9962330988466718;0,0006133010921505266;31
9,354373025894166;0,33630313893739583;0,6438844680786133;0,061589638788708795;10;sqrt;2;5;100;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100};0,9962330988466718;0,0007112649910361371;31
26,712402057647704;0,4490146710200749;1,230385684967041;0,1466732091994155;10;sqrt;2;5;300;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300};0,9962330772183862;0,0007411364330133275;33
26,65755648612976;0,3348920184879857;1,1648094654083252;0,10520202180982749;10;sqrt;2;10;300;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300};0,9962330555901007;0,0004264585453747474;34
17,62670679092407;0,3497954239259303;0,9273782253265381;0,0650745265292957;10;sqrt;2;10;200;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200};0,9961865655904791;0,0004313616285422103;35
9,383689165115356;0,3069978277241955;0,6305208206176758;0,04064440484738514;10;sqrt;2;10;100;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0,9958609841951305;0,0007414783918337659;36
6,487252616882325;0,13608335078563807;0,5507653713226318;0,11365188950949283;5;sqrt;1;5;100;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0,8897359835192464;0,008395646156627185;37
6,732138347625733;0,24411918283261608;0,593547773361206;0,08625782142123756;5;sqrt;2;5;100;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100};0,8893640094515607;0,008110357025818445;38
13,13443570137024;0,7090237777188755;0,9529866695404052;0,12258521365947789;5;sqrt;1;5;200;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200};0,8893172382842283;0,009792498730136847;39
12,541720581054687;0,47562291612525187;0,9087889194488525;0,10646552087426481;5;sqrt;2;5;200;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200};0,8890382334016426;0,009493176498757893;40
19,37979898452759;0,5224782214431273;1,3651827335357667;0,06627122154522617;5;sqrt;1;5;300;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300};0,8888522301465857;0,00843962088586897;41
18,74183373451233;0,4268485537579726;1,227918767929077;0,09736512397933181;5;sqrt;2;5;300;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300};0,8882476979393651;0,008434751563417952;42
12,811058759689331;0,1772227107182885;0,9025708198547363;0,08178112087873723;5;sqrt;2;10;200;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200};0,8881547720108358;0,008659000248931376;43
12,703720951080323;0,5455153168748003;0,9638630867004394;0,10654354529292054;5;sqrt;1;10;200;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200};0,8877361781738158;0,008763268062623461;44
6,684768104553223;0,32837351772584444;0,5917876243591309;0,07264431395272178;5;sqrt;1;10;100;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100};0,887038752480494;0,008875205958711644;45
6,693694257736206;0,42986840251976444;0,6535000324249267;0,09728281471920469;5;sqrt;2;10;100;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0,8868527600395797;0,008934552548131858;46
18,751750564575197;0,5821030453470601;1,13122501373291;0,08921069580096408;5;sqrt;1;10;300;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300};0,8868059996863898;0,008469233985376919;47
19,192569923400878;0,494561142410191;1,2499098300933837;0,12936173333026066;5;sqrt;2;10;300;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300};0,8866665080592397;0,008180756069119463;48
