Threshold,Recall,Specificity,Precision,ROC_AUC,AHP_Score,TP,FP,FN,TN
0.45000000000000007,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.4600000000000001,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.4700000000000001,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.4800000000000001,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.49000000000000005,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.5000000000000001,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.5100000000000001,0.9948186528497409,1.0,1.0,1.0,0.996640932642487,192,0,1,19
0.5200000000000001,0.9844559585492227,1.0,1.0,1.0,0.9899227979274611,190,0,3,19
0.5300000000000001,0.9844559585492227,1.0,1.0,1.0,0.9899227979274611,190,0,3,19
0.5400000000000001,0.9792746113989638,1.0,1.0,1.0,0.9865637305699482,189,0,4,19
0.5500000000000002,0.9481865284974094,1.0,1.0,1.0,0.9664093264248705,183,0,10,19
0.5600000000000002,0.9222797927461139,1.0,1.0,1.0,0.9496139896373057,178,0,15,19
0.5700000000000002,0.8497409326424871,1.0,1.0,1.0,0.9025870466321244,164,0,29,19
0.5800000000000002,0.8082901554404145,1.0,1.0,1.0,0.8757145077720208,156,0,37,19
0.5900000000000002,0.6839378238341969,1.0,1.0,1.0,0.7950968911917098,132,0,61,19
0.6000000000000002,0.5906735751295337,1.0,1.0,1.0,0.7346336787564767,114,0,79,19
0.6100000000000001,0.35751295336787564,1.0,1.0,1.0,0.5834756476683938,69,0,124,19
0.6200000000000001,0.2849740932642487,1.0,1.0,1.0,0.5364487046632125,55,0,138,19
0.6300000000000001,0.2694300518134715,1.0,1.0,1.0,0.5263715025906736,52,0,141,19
0.6400000000000001,0.25906735751295334,1.0,1.0,1.0,0.5196533678756476,50,0,143,19
0.6500000000000001,0.21243523316062177,1.0,1.0,1.0,0.4894217616580311,41,0,152,19
0.6600000000000001,0.18134715025906736,1.0,1.0,1.0,0.46926735751295334,35,0,158,19
0.6700000000000002,0.15025906735751296,1.0,1.0,1.0,0.4491129533678756,29,0,164,19
0.6800000000000002,0.15025906735751296,1.0,1.0,1.0,0.4491129533678756,29,0,164,19
0.6900000000000002,0.12435233160621761,1.0,1.0,1.0,0.43231761658031087,24,0,169,19
0.7000000000000002,0.11398963730569948,1.0,1.0,1.0,0.42559948186528496,22,0,171,19
0.7100000000000002,0.10880829015544041,1.0,1.0,1.0,0.422240414507772,21,0,172,19
0.7200000000000002,0.08808290155440414,1.0,1.0,1.0,0.4088041450777202,17,0,176,19
0.7300000000000002,0.08290155440414508,1.0,1.0,1.0,0.4054450777202072,16,0,177,19
0.7400000000000002,0.07772020725388601,1.0,1.0,1.0,0.4020860103626943,15,0,178,19
0.7500000000000002,0.06735751295336788,1.0,1.0,1.0,0.3953678756476684,13,0,180,19
0.7600000000000002,0.05181347150259067,1.0,1.0,1.0,0.38529067357512947,10,0,183,19
0.7700000000000002,0.05181347150259067,1.0,1.0,1.0,0.38529067357512947,10,0,183,19
0.7800000000000001,0.046632124352331605,1.0,1.0,1.0,0.38193160621761657,9,0,184,19
