Va;Vb;Vc;phi_Va;phi_Vb;phi_Vc;Ia;Ib;Ic;phi_Ia;phi_Ib;phi_Ic;RF;Factor_Carga;Nodo_Falla;Tipo_Falla
127,005;127,011;127,012;-0,00482229;-120,003;119,994;11,0692;124,803;117,081;-37,6756;-173,759;10,0004;0;0,8;632;LL BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;10,5478;115,417;110,403;-38,8493;-159,561;25,1508;0,5;0,8;632;LL BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;10,2622;102,128;99,5432;-40,8297;-148,225;37,4211;1;0,8;632;LL BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;10,181;77,5876;78,366;-44,2111;-133,568;53,8963;2;0,8;632;LL BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;10,5426;41,4094;45,9082;-47,5915;-118,771;73,7836;5;0,8;632;LL BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;10,8259;23,5019;29,3436;-48,4654;-116,358;83,6289;10;0,8;632;LL BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;10,9979;13,813;20,0065;-48,7266;-121,791;89,936;20;0,8;632;LL BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;11,1083;8,36193;14,14;-48,811;-136,768;94,9612;50;0,8;632;LL BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;118,782;5,87001;123,006;-110,957;-155,905;67,1113;0;0,8;632;LL CA
127,005;127,011;127,012;-0,00482229;-120,003;119,994;111,159;5,65932;114,053;-96,2764;-156,758;81,2489;0,5;0,8;632;LL CA
127,005;127,011;127,012;-0,00482229;-120,003;119,994;99,6094;5,5438;101,325;-84,7016;-158,186;92,2915;1;0,8;632;LL CA
127,005;127,011;127,012;-0,00482229;-120,003;119,994;78,0305;5,50276;78,1444;-69,7637;-160,598;106,199;2;0,8;632;LL CA
127,005;127,011;127,012;-0,00482229;-120,003;119,994;45,983;5,62321;44,4131;-53,5005;-163,108;119,649;5;0,8;632;LL CA
127,005;127,011;127,012;-0,00482229;-120,003;119,994;29,8082;5,72443;27,7514;-47,5528;-163,843;121,789;10;0,8;632;LL CA
127,005;127,011;127,012;-0,00482229;-120,003;119,994;20,7141;5,78765;18,6801;-45,8162;-164,104;118,351;20;0,8;632;LL CA
127,005;127,011;127,012;-0,00482229;-120,003;119,994;15,0215;5,82891;13,3416;-46,431;-164,213;110,83;50;0,8;632;LL CA
127,005;127,011;127,012;-0,00482229;-120,003;119,994;132,124;134,266;24,2697;-76,9887;152,683;44,0384;0;0,8;632;LLG AB
127,005;127,011;127,012;-0,00482229;-120,003;119,994;111,235;109,555;24,1561;-51,733;179,462;67,6042;0,5;0,8;632;LLG AB
127,005;127,011;127,012;-0,00482229;-120,003;119,994;86,2131;83,1862;21,3697;-37,3049;-165,371;80,8464;1;0,8;632;LLG AB
127,005;127,011;127,012;-0,00482229;-120,003;119,994;56,7193;53,3957;17,373;-25,7146;-152,29;91,5541;2;0,8;632;LLG AB
127,005;127,011;127,012;-0,00482229;-120,003;119,994;29,9805;26,523;13,4078;-21,9767;-144,321;97,9896;5;0,8;632;LLG AB
127,005;127,011;127,012;-0,00482229;-120,003;119,994;20,039;16,1678;11,825;-26,664;-144,793;99,3722;10;0,8;632;LLG AB
127,005;127,011;127,012;-0,00482229;-120,003;119,994;15,2663;10,8817;10,998;-33,7594;-148,739;99,7322;20;0,8;632;LLG AB
127,005;127,011;127,012;-0,00482229;-120,003;119,994;12,6776;7,78464;10,4939;-41,4377;-155,269;99,8005;50;0,8;632;LLG AB
127,005;127,011;127,012;-0,00482229;-120,003;119,994;24,916;132,219;134,223;-74,7877;163,001;32,721;0;0,8;632;LLG BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;23,7683;111,206;111,294;-56,2244;-170,782;59,6129;0,5;0,8;632;LLG BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;20,5614;85,5468;86,2298;-47,1082;-155,122;74,8804;1;0,8;632;LLG BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;16,6284;54,8999;57,5809;-42,3379;-141,445;88,4923;2;0,8;632;LLG BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;13,3314;26,7612;31,3192;-43,3112;-133,789;98,5309;5;0,8;632;LLG BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;12,2121;15,9994;21,0151;-45,3979;-135,676;101,135;10;0,8;632;LLG BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;11,6815;10,6168;15,6347;-46,9316;-141,914;101,512;20;0,8;632;LLG BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;11,3783;7,59071;12,3541;-48,0275;-151,605;100,91;50;0,8;632;LLG BC
127,005;127,011;127,012;-0,00482229;-120,003;119,994;134,385;22,7178;131,877;-87,4119;160,587;43,0345;0;0,8;632;LLG CA
127,005;127,011;127,012;-0,00482229;-120,003;119,994;109,751;20,6186;111,662;-61,1438;-175,861;69,0547;0,5;0,8;632;LLG CA
127,005;127,011;127,012;-0,00482229;-120,003;119,994;83,9218;16,9055;87,36;-47,0443;-163,397;84,3551;1;0,8;632;LLG CA
127,005;127,011;127,012;-0,00482229;-120,003;119,994;55,3822;12,4234;58,3575;-35,8647;-155,213;97,8708;2;0,8;632;LLG CA
127,005;127,011;127,012;-0,00482229;-120,003;119,994;30,0551;8,51924;31,4368;-31,1398;-154,64;106,638;5;0,8;632;LLG CA
127,005;127,011;127,012;-0,00482229;-120,003;119,994;20,4664;7,13788;20,9434;-33,7023;-157,633;107,452;10;0,8;632;LLG CA
127,005;127,011;127,012;-0,00482229;-120,003;119,994;15,6728;6,47559;15,5314;-38,2956;-160,372;105,826;20;0,8;632;LLG CA
127,005;127,011;127,012;-0,00482229;-120,003;119,994;12,9109;6,09788;12,2853;-43,5315;-162,552;103,1;50;0,8;632;LLG CA
127,012;127,012;127,012;-0,00334348;-0,00334348;-0,00334348;139,577;139,577;139,577;-81,9395;158,06;38,0605;0;0,8;632;LLL ABC
127,012;127,012;127,012;-0,00334348;-0,00334348;-0,00334348;115,745;115,745;115,745;-55,7789;-175,779;64,2211;0,5;0,8;632;LLL ABC
127,012;127,012;127,012;-0,00334348;-0,00334348;-0,00334348;89,0001;89,0001;89,0001;-40,428;-160,428;79,572;1;0,8;632;LLL ABC
127,012;127,012;127,012;-0,00334348;-0,00334348;-0,00334348;57,6623;57,6623;57,6623;-26,7445;-146,744;93,2555;2;0,8;632;LLL ABC
127,012;127,012;127,012;-0,00334348;-0,00334348;-0,00334348;28,7607;28,7607;28,7607;-17,7826;-137,783;102,217;5;0,8;632;LLL ABC
127,012;127,012;127,012;-0,00334348;-0,00334348;-0,00334348;17,5206;17,5206;17,5206;-17,4204;-137,42;102,58;10;0,8;632;LLL ABC
127,012;127,012;127,012;-0,00334348;-0,00334348;-0,00334348;11,7466;11,7466;11,7466;-20,4829;-140,483;99,5171;20;0,8;632;LLL ABC
127,012;127,012;127,012;-0,00334348;-0,00334348;-0,00334348;8,32895;8,32895;8,32895;-26,0482;-146,048;93,9518;50;0,8;632;LLL ABC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;126,499;16,319;27,7434;-82,7235;113,17;87,2256;0;1;632;L A
127,001;127,009;127,01;-0,00593327;-120,003;119,992;105,619;16,6397;25,0725;-57,1308;141,868;101,828;0,5;1;632;L A
127,001;127,009;127,01;-0,00593327;-120,003;119,992;81,7386;14,9782;21,5402;-43,4185;158,339;107,674;1;1;632;L A
127,001;127,009;127,01;-0,00593327;-120,003;119,992;54,7653;12,4416;17,7184;-33,2265;173,251;108,952;2;1;632;L A
127,001;127,009;127,01;-0,00593327;-120,003;119,992;31,0181;9,80114;14,8235;-31,0277;-174,664;104,973;5;1;632;L A
127,001;127,009;127,01;-0,00593327;-120,003;119,992;22,3265;8,70377;13,9449;-35,468;-170,115;101,924;10;1;632;L A
127,001;127,009;127,01;-0,00593327;-120,003;119,992;18,1453;8,11701;13,5601;-40,9967;-167,753;99,9966;20;1;632;L A
127,001;127,009;127,01;-0,00593327;-120,003;119,992;15,8205;7,75367;13,3528;-46,3089;-166,309;98,7118;50;1;632;L A
127,001;127,009;127,01;-0,00593327;-120,003;119,992;31,2792;126,234;14,6065;-41,051;157,246;16,3687;0;1;632;L B
127,001;127,009;127,01;-0,00593327;-120,003;119,992;26,1025;104,953;18,1631;-28,1314;-175,91;44,5464;0,5;1;632;L B
127,001;127,009;127,01;-0,00593327;-120,003;119,992;21,2734;80,2253;18,252;-25,0833;-160,606;61,1319;1;1;632;L B
127,001;127,009;127,01;-0,00593327;-120,003;119,992;16,9173;51,7904;17,0008;-29,2527;-147,844;76,2861;2;1;632;L B
127,001;127,009;127,01;-0,00593327;-120,003;119,992;14,6546;26,295;15,1193;-39,9422;-141,559;88,5198;5;1;632;L B
127,001;127,009;127,01;-0,00593327;-120,003;119,992;14,3508;16,6593;14,2373;-45,2971;-143,95;93,0738;10;1;632;L B
127,001;127,009;127,01;-0,00593327;-120,003;119,992;14,3307;11,8631;13,7473;-48,1568;-149,551;95,42;20;1;632;L B
127,001;127,009;127,01;-0,00593327;-120,003;119,992;14,3646;9,14276;13,4381;-49,89;-156,937;96,8461;50;1;632;L B
127,001;127,009;127,01;-0,00593327;-120,003;119,992;16,5341;25,8661;125,933;-110,786;-155,62;37,4547;0;1;632;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;19,8865;21,0206;106,914;-89,5574;-137,157;64,6389;0,5;1;632;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;19,7653;16,2364;83,6883;-76,7107;-130,134;79,9676;1;1;632;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;18,3364;11,4381;56,7806;-65,3597;-131,043;92,9962;2;1;632;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;16,3489;8,29878;32,3753;-56,8196;-144,508;101,166;5;1;632;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;15,439;7,66816;22,9516;-53,8837;-153,945;102,117;10;1;632;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;14,9376;7,52038;18,0932;-52,4438;-159,506;101,18;20;1;632;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;14,6225;7,49556;15,1658;-51,597;-162,991;99,6002;50;1;632;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;125,201;116,726;12,4602;-54,0287;130,301;80,9567;0;1;632;LL AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;115,452;108,639;13,4012;-40,7866;145,12;82,6779;0,5;1;632;LL AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;102,039;96,7931;13,9526;-30,5741;156,885;85,1906;1;1;632;LL AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;77,9254;74,8623;14,2834;-18,2672;172,213;89,3035;2;1;632;LL AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;43,5413;42,4833;14,0362;-9,44592;-170,717;94,1833;5;1;632;LL AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;27,4345;26,2159;13,7139;-13,5855;-164,077;96,0974;10;1;632;LL AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;19,6038;17,0842;13,4903;-24,2549;-161,798;96,9994;20;1;632;LL AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;15,9032;11,365;13,3363;-37,8218;-162,221;97,497;50;1;632;LL AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;14,3503;125,809;116,178;-39,7344;-174,361;10,6826;0;1;632;LL BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;13,6569;116,104;110,04;-40,8607;-160,283;25,9232;0,5;1;632;LL BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;13,2724;102,574;99,6593;-42,8264;-149,158;38,1849;1;1;632;LL BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;13,1468;77,9047;79,2798;-46,2163;-135,006;54,5376;2;1;632;LL BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;13,5898;41,9538;47,9648;-49,6669;-121,485;74,1304;5;1;632;LL BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;13,9478;24,3227;31,9216;-50,5977;-120,527;83,7032;10;1;632;LL BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;14,1674;14,9316;22,8465;-50,8948;-127,462;89,6342;20;1;632;LL BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;14,3092;9,8156;17,1264;-51,0024;-142,591;94,044;50;1;632;LL BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;118,228;7,55472;123,585;-110,649;-156,767;66,8258;0;1;632;LL CA
127,001;127,009;127,01;-0,00593327;-120,003;119,992;110,793;7,27194;114,425;-95,983;-157,633;80,8108;0,5;1;632;LL CA
127,001;127,009;127,01;-0,00593327;-120,003;119,992;99,4655;7,1182;101,6;-84,592;-159,093;91,5368;1;1;632;LL CA
127,001;127,009;127,01;-0,00593327;-120,003;119,992;78,5154;7,06162;78,6626;-70,1576;-161,539;104,693;2;1;632;LL CA
127,001;127,009;127,01;-0,00593327;-120,003;119,992;47,7293;7,21064;45,8707;-54,9274;-164,092;116,533;5;1;632;LL CA
127,001;127,009;127,01;-0,00593327;-120,003;119,992;32,2381;7,33784;29,866;-49,6989;-164,862;117,452;10;1;632;LL CA
127,001;127,009;127,01;-0,00593327;-120,003;119,992;23,5297;7,41791;21,2498;-48,3973;-165,147;113,439;20;1;632;LL CA
127,001;127,009;127,01;-0,00593327;-120,003;119,992;18,0808;7,47045;16,2336;-49,0908;-165,273;106,517;50;1;632;LL CA
127,001;127,009;127,01;-0,00593327;-120,003;119,992;132,309;134,193;25,6219;-77,0152;152,76;46,0981;0;1;632;LLG AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;111,272;109,576;26,3821;-52,4034;179,442;67,8203;0,5;1;632;LLG AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;86,5977;83,3857;23,9909;-38,7663;-165,678;80,0286;1;1;632;LLG AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;57,8464;53,9796;20,2587;-28,414;-153,158;89,8394;2;1;632;LLG AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;32,0575;27,5893;16,4287;-26,5409;-146,252;95,7749;5;1;632;LLG AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;22,6401;17,4759;14,8765;-31,9751;-147,526;97,1507;10;1;632;LLG AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;18,1965;12,3496;14,0608;-38,7373;-151,837;97,5913;20;1;632;LLG AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;15,8029;9,36624;13,5617;-45,257;-157,955;97,7497;50;1;632;LLG AB
127,001;127,009;127,01;-0,00593327;-120,003;119,992;26,5263;132,434;134,14;-72,5795;162,969;32,8115;0;1;632;LLG BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;25,7884;111,311;111,873;-56,7366;-171,153;59,5933;0,5;1;632;LLG BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;22,8607;85,8309;87,3668;-49,1967;-155,915;74,5472;1;1;632;LLG BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;19,2568;55,5505;59,4449;-45,6815;-142,92;87,6477;2;1;632;LLG BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;16,2972;27,8231;33,861;-46,844;-136,532;96,9526;5;1;632;LLG BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;15,3098;17,2841;23,8138;-48,5107;-139,42;99,1396;10;1;632;LLG BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;14,8438;12,0727;18,5672;-49,663;-146,075;99,3274;20;1;632;LLG BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;14,5776;9,176;15,3691;-50,4628;-155,036;98,7388;50;1;632;LLG BC
127,001;127,009;127,01;-0,00593327;-120,003;119,992;134,334;23,4132;131,987;-87,3689;162,157;43,0232;0;1;632;LLG CA
127,001;127,009;127,01;-0,00593327;-120,003;119,992;109,78;21,667;111,908;-61,3543;-175,886;68,6236;0,5;1;632;LLG CA
127,001;127,009;127,01;-0,00593327;-120,003;119,992;84,2482;18,1218;88,1813;-47,8653;-164,511;83,3725;1;1;632;LLG CA
127,001;127,009;127,01;-0,00593327;-120,003;119,992;56,458;13,791;60,0308;-37,7794;-157,484;96,1334;2;1;632;LLG CA
127,001;127,009;127,01;-0,00593327;-120,003;119,992;32,1503;10,0401;33,8959;-34,6793;-157,496;103,932;5;1;632;LLG CA
127,001;127,009;127,01;-0,00593327;-120,003;119,992;23,08;8,72584;23,7022;-37,9066;-160,127;104,321;10;1;632;LLG CA
127,001;127,009;127,01;-0,00593327;-120,003;119,992;18,5944;8,0968;18,449;-42,3726;-162,346;102,699;20;1;632;LLG CA
127,001;127,009;127,01;-0,00593327;-120,003;119,992;16,0221;7,73704;15,2984;-46,8752;-164,039;100,372;50;1;632;LLG CA
127,011;127,011;127,011;-0,00419544;-0,00419544;-0,00419544;139,577;139,577;139,577;-81,9395;158,06;38,0605;0;1;632;LLL ABC
127,011;127,011;127,011;-0,00419544;-0,00419544;-0,00419544;115,754;115,754;115,754;-55,9536;-175,954;64,0464;0,5;1;632;LLL ABC
127,011;127,011;127,011;-0,00419544;-0,00419544;-0,00419544;89,2513;89,2513;89,2513;-40,9154;-160,915;79,0846;1;1;632;LLL ABC
127,011;127,011;127,011;-0,00419544;-0,00419544;-0,00419544;58,3669;58,3669;58,3669;-27,7457;-147,746;92,2543;2;1;632;LLL ABC
127,011;127,011;127,011;-0,00419544;-0,00419544;-0,00419544;29,9445;29,9445;29,9445;-19,6566;-139,657;100,343;5;1;632;LLL ABC
